Symbol,tDate,Price
A,2021-12-16,150.8
A,2021-12-17,151.42
A,2021-12-20,150.42
A,2021-12-21,153.96
A,2021-12-22,156.78
A,2021-12-23,157.8
A,2021-12-27,158.74
A,2021-12-28,159.18
A,2021-12-29,160.65
A,2021-12-30,160.88
AAL,2021-12-16,16.52
AAL,2021-12-17,16.95
AAL,2021-12-20,17.3
AAL,2021-12-21,18.12
AAL,2021-12-22,18.26
AAL,2021-12-23,18.26
AAL,2021-12-27,18.17
AAL,2021-12-28,18.54
AAL,2021-12-29,18.05
AAL,2021-12-30,18.07
AAP,2021-12-16,239.16
AAP,2021-12-17,232.82
AAP,2021-12-20,228.39
AAP,2021-12-21,229.57
AAP,2021-12-22,232.79
AAP,2021-12-23,232.13
AAP,2021-12-27,236.5
AAP,2021-12-28,238.13
AAP,2021-12-29,241.03
AAP,2021-12-30,237.52
AAPL,2021-12-16,172.26
AAPL,2021-12-17,171.14
AAPL,2021-12-20,169.75
AAPL,2021-12-21,172.99
AAPL,2021-12-22,175.64
AAPL,2021-12-23,176.28
AAPL,2021-12-27,180.33
AAPL,2021-12-28,179.29
AAPL,2021-12-29,179.38
AAPL,2021-12-30,178.2
ABBV,2021-12-16,131.78
ABBV,2021-12-17,129.53
ABBV,2021-12-20,130.86
ABBV,2021-12-21,129.95
ABBV,2021-12-22,132.05
ABBV,2021-12-23,133.09
ABBV,2021-12-27,134.41
ABBV,2021-12-28,134.39
ABBV,2021-12-29,135.36
ABBV,2021-12-30,135.93
ABC,2021-12-16,123.98
ABC,2021-12-17,125.18
ABC,2021-12-20,126.01
ABC,2021-12-21,127.61
ABC,2021-12-22,127.81
ABC,2021-12-23,129.53
ABC,2021-12-27,131.9
ABC,2021-12-28,132.36
ABC,2021-12-29,133.34
ABC,2021-12-30,133.77
ABMD,2021-12-16,310.0
ABMD,2021-12-17,315.55
ABMD,2021-12-20,316.23
ABMD,2021-12-21,332.2
ABMD,2021-12-22,343.4
ABMD,2021-12-23,352.21
ABMD,2021-12-27,357.83
ABMD,2021-12-28,357.44
ABMD,2021-12-29,361.84
ABMD,2021-12-30,362.06
ABT,2021-12-16,136.09
ABT,2021-12-17,137.11
ABT,2021-12-20,134.98
ABT,2021-12-21,135.27
ABT,2021-12-22,138.99
ABT,2021-12-23,139.16
ABT,2021-12-27,141.46
ABT,2021-12-28,140.47
ABT,2021-12-29,141.19
ABT,2021-12-30,141.0
ACN,2021-12-16,400.6
ACN,2021-12-17,396.24
ACN,2021-12-20,385.78
ACN,2021-12-21,392.89
ACN,2021-12-22,403.69
ACN,2021-12-23,403.31
ACN,2021-12-27,415.33
ACN,2021-12-28,415.27
ACN,2021-12-29,415.42
ACN,2021-12-30,413.83
ADBE,2021-12-16,566.09
ADBE,2021-12-17,556.64
ADBE,2021-12-20,549.77
ADBE,2021-12-21,557.52
ADBE,2021-12-22,563.98
ADBE,2021-12-23,569.62
ADBE,2021-12-27,577.68
ADBE,2021-12-28,569.36
ADBE,2021-12-29,569.29
ADBE,2021-12-30,570.53
ADI,2021-12-16,172.6
ADI,2021-12-17,170.11
ADI,2021-12-20,168.32
ADI,2021-12-21,172.08
ADI,2021-12-22,172.29
ADI,2021-12-23,172.66
ADI,2021-12-27,175.47
ADI,2021-12-28,174.38
ADI,2021-12-29,175.52
ADI,2021-12-30,174.78
ADM,2021-12-16,66.17
ADM,2021-12-17,65.27
ADM,2021-12-20,64.22
ADM,2021-12-21,64.83
ADM,2021-12-22,64.62
ADM,2021-12-23,65.44
ADM,2021-12-27,66.07
ADM,2021-12-28,66.93
ADM,2021-12-29,67.01
ADM,2021-12-30,66.86
ADP,2021-12-16,231.85
ADP,2021-12-17,229.41
ADP,2021-12-20,229.36
ADP,2021-12-21,231.95
ADP,2021-12-22,237.62
ADP,2021-12-23,242.0
ADP,2021-12-27,246.29
ADP,2021-12-28,246.07
ADP,2021-12-29,248.01
ADP,2021-12-30,245.56
ADSK,2021-12-16,269.61
